cty code,cty,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
1001,AL: Autauga,0,0.81,6.09,1.56,0,0,0,0,0,16.61,3.64,2.98,7.58,0,0,0,0.05,12.38,0,0,0,0,0,0,6.99,10.72,42,3.59,0.18,0
1003,AL: Baldwin County,0,0.41,0.78,1.25,0,0.33,0,0,1.21,0,0,1.63,19.21,0,0,0,0,11.96,0,0,0,0,0,0.01,0.64,2.19,2.52,16.68,9.92,0.26
1005,AL: Barbour County,0,1.74,2.39,0.49,0,0,0,0,0,5.76,2.51,0,14.35,0,0,0,0,13.69,0,2.98,0,0,0,0,0,8.19,12.35,19.1,8.05,0
1007,AL: Bibb County,0,1.46,12.11,2.64,0,0,0,0,0.11,14.16,0.81,6.91,8.2,0,0,0,2.12,10.4,0,0,0,0,0,0,9.11,7.62,41.11,0,0,0
1009,AL: Blount County,0,12.43,23.63,5.9,0,0,0,0,1.41,19.53,0.25,21.11,2.69,0,0,0,4.24,6.61,0,0,0,1.33,0.78,0,26.35,1.37,12.2,0,0,0
1011,AL: Bullock County,0,1.45,3.58,0.78,0,0,0,0,0,9.94,3.69,0,11.26,0,0,0,0,12.53,0,0.86,0,0,0,0,1.68,9.91,19.07,14.64,4.2,0
1013,AL: Butler County,0,0,1.61,0.21,0,0,0,0,0,4.04,0.68,0,17.55,0,0,0,0,12.26,0,0,0,0,0,0,1.84,9.2,19.97,14.87,5.54,0
1015,AL: Calhoun County,0,5.37,20.95,7.38,0,0,0,0,0.51,23.68,1.06,20.51,3.48,0,0,0,2,7.29,0,0,0,0.27,0.29,0,19.84,3.63,17.63,0,0,0
1017,AL: Chambers County,0,1.91,10.37,3.13,0,0,0,0,0,20.52,3.31,6.37,7.89,0,0,0,0.08,13.75,0,0,0,0,0,0,6.14,9.84,45.3,6.91,0.45,0
1019,AL: Cherokee County,0,7.05,20.6,10.62,0,0,0,0,0.27,15.22,0.69,22.16,4.02,0,0,0,2.64,6.83,0,0,0,1.18,2.17,0,22.4,0.07,16.44,0,0,0
1021,AL: Chilton County,0,1.47,10.67,2.13,0,0,0,0,0,19.72,3.71,6.57,7,0,0,0,1.03,11.14,0,0,0,0,0,0,9.51,10.28,41.61,0.54,0,0
1023,AL: Choctaw County,0,0,1.9,1.22,0,0,0,0,0.61,1.1,0,3.07,21.31,0,0,0,2.82,9.76,0,0,0,0,0,0.09,1.78,4.64,29.16,5.11,0,0
1025,AL: Clarke County,0,0,0.81,1.13,0,0,0.35,0,0.06,0.37,0,0.5,22.41,0,0,0,0.22,12.01,0,0,0,0.05,0,0,1.1,4.74,16.36,14.86,0.93,0
1027,AL: Clay County,0,3.08,16.75,5.02,0,0,0,0,0.01,24.98,2,14.02,5.48,0,0,0,1.22,10.24,0,0,0,0,0,0,14.18,9.31,35.4,1.23,0,0
1029,AL: Cleburne County,0.01,4.32,18.92,8.49,0,0,0,0,0.35,24.22,1.23,18.76,5.89,0,0,0,1.51,9.34,0,0,0,0.06,0.21,0,16.25,3.99,28.42,0.52,0,0
1031,AL: Coffee County,0,0.14,1.1,0,0,0,0,0,0,0.73,1.04,0,23.4,0,0,0,0,16.26,1.02,0,0,0,0,0,0,9.75,11.51,26.26,11.22,0
